S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
223,2024-05-29,2826,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,1910.0000,1924.0000,1887.0000,,445,845378.5000,1877.0000,2420.0000,589.1000,2024-05-29T12:22:56.501032,1895.0000,13,1899.72,
224,2024-05-29,2831,UNHPL,Union Hydropower Limited,235.0000,235.5000,230.9000,,9030,2103897.5000,230.9000,280.5000,156.0000,2024-05-29T12:20:18.913626,232.5000,29,232.98,
225,2024-05-29,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,1365.0000,1375.0000,1322.0000,,2410,3221765.1000,1365.0000,1492.0000,537.0000,2024-05-29T12:19:38.448348,1345.0000,39,1336.83,
226,2024-05-29,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,273.8000,275.0000,269.0000,,35350,9626577.5000,268.5000,371.0000,239.0000,2024-05-29T12:19:08.716393,272.0000,64,272.32,
227,2024-05-29,2843,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,990.0000,995.0000,968.0000,,1470,1426914.6000,976.2000,1071.0000,522.6000,2024-05-29T12:13:02.074791,969.0000,15,970.69,
228,2024-05-29,2860,SAPDBL,Saptakoshi Development Bank Ltd,327.9000,327.9000,317.4000,,7430,2397900.0000,321.5000,352.5000,211.7000,2024-05-29T12:08:57.246539,326.0000,21,322.73,
229,2024-05-29,2862,CMF2,CITIZENS MUTUAL FUND 2,8.4100,8.4500,8.4100,,675,5684.7500,8.5800,10.3900,6.8100,2024-05-29T12:13:39.999648,8.4500,4,8.42,
230,2024-05-29,2863,NICBF,NIC Asia Balanced Fund,8.8800,8.8800,8.8800,,200,1776.0000,8.7100,10.3100,7.7100,2024-05-29T11:34:33.877181,8.8800,1,8.88,
231,2024-05-29,2867,NMB50,NMB 50,9.9800,9.9800,9.9800,,11981,119570.3800,9.9800,11.5000,8.7100,2024-05-29T12:18:29.246189,9.9800,3,9.98,
232,2024-05-29,2880,HDHPC,Himal Dolakha Hydropower Company Limited,135.5000,136.0000,132.8000,,18167,2434840.1000,132.9000,176.3000,116.0000,2024-05-29T12:21:41.111397,133.0000,82,134.02,
233,2024-05-29,2881,NRIC,Nepal Reinsurance Company Limited,687.0000,687.0000,674.0000,,1384,936506.3000,675.0000,856.0000,585.0000,2024-05-29T12:12:33.308223,676.0000,26,676.66,
234,2024-05-29,2883,GWFD83,12 % Goodwill Finance Limited Debenture 2083,1230.0000,1230.0000,1225.0000,,175,214500.0000,1220.0000,1230.0000,1010.0000,2024-05-29T12:06:10.147538,1225.0000,2,1225.71,
235,2024-05-29,2898,NRN,NRN Infrastructure and Development Limited,584.0000,594.0000,575.0000,,101816,59622132.7000,572.8000,641.0000,280.6000,2024-05-29T12:23:06.036704,587.0000,366,585.58,
236,2024-05-29,2902,LUK,Laxmi Unnati Kosh,8.5200,8.8000,8.5200,,200,1732.0000,8.6700,9.6100,7.4900,2024-05-29T11:31:17.499649,8.8000,2,8.66,
237,2024-05-29,2907,SSHL,Shiva Shree Hydropower Ltd,172.2000,172.2000,165.0000,,19780,3326033.0000,168.9000,222.3000,133.0000,2024-05-29T12:22:26.301888,168.7000,75,168.15,
238,2024-05-29,2917,CGH,Chandragiri Hills Limited,897.6000,925.0000,890.0000,,25631,23377617.7000,880.0000,1520.0000,760.0000,2024-05-29T12:22:47.487614,921.0000,348,912.08,
239,2024-05-29,2934,SHEL,Singati Hydro Energy Limited,166.9000,170.0000,163.7000,,30022,4974898.9000,163.9000,334.0000,143.1000,2024-05-29T12:22:10.548864,165.2000,133,165.70,
240,2024-05-29,2937,SBCF,Sunrise Bluechip Fund,8.3300,8.5000,8.3300,,4400,37084.0000,8.5000,8.5000,7.1300,2024-05-29T12:17:37.195397,8.4900,10,8.42,
241,2024-05-29,4947,PSF,Prabhu Select Fund,8.8400,9.3800,8.8400,,9500,86051.0000,9.0200,9.7900,7.1500,2024-05-29T12:15:42.736653,9.3800,12,9.05,
242,2024-05-29,4949,NIBSF2,NIBL Samriddhi Fund -2,7.9900,8.1400,7.9900,,1800,14538.0000,8.1500,9.4900,6.6000,2024-05-29T12:10:47.971679,8.0100,3,8.07,
243,2024-05-29,4967,NICSF,NIC Asia Select Fund 30,9.3100,9.4900,9.3100,,8100,75951.0000,9.3100,9.6400,7.6500,2024-05-29T12:17:29.358240,9.3100,3,9.37,
244,2024-05-29,5982,SRLI,Sanima Reliance Life Insurance Limited,461.0000,461.0000,446.5000,,1965,886220.7000,455.0000,619.9000,389.0000,2024-05-29T12:23:04.301364,449.5000,98,451.00,
245,2024-05-29,8022,TPC,Terhathum Power Company Limited,520.2000,520.2000,505.1000,,2164,1116018.0000,510.0000,723.0000,301.2000,2024-05-29T12:07:47.939282,515.0000,32,515.71,
246,2024-05-29,8023,MMF1,Mega Mutual Fund -1,7.2600,7.5400,7.2600,,2600,19426.0000,7.4000,8.2900,6.5300,2024-05-29T12:17:15.278792,7.4100,9,7.47,
247,2024-05-29,8024,NBF3,Nabil Balanced Fund-3,7.3600,7.6500,7.3600,,4600,34509.0000,7.5100,8.0400,6.7400,2024-05-29T11:56:25.566653,7.6500,6,7.50,
248,2024-05-29,8025,SPC,Samling Power Company Limited,534.4000,545.0000,519.0000,,1920,1025476.0000,524.0000,766.0000,307.8000,2024-05-29T12:21:27.833876,525.0000,20,534.10,
249,2024-05-29,8031,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,309.0000,309.0000,301.0000,,4631,1404499.4000,303.0000,376.3000,246.0000,2024-05-29T12:22:36.363082,304.2000,86,303.28,
250,2024-05-29,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,635.1000,635.1000,583.3000,,11853,7142564.4000,648.0000,734.4000,270.1000,2024-05-29T12:20:56.505596,605.2000,117,602.59,
251,2024-05-29,8041,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,1924.0000,1924.7000,1856.0000,,285,538251.0000,1887.0000,2232.0000,1418.0000,2024-05-29T12:21:04.093146,1856.0000,15,1888.60,
252,2024-05-29,8055,BHL,Balephi Hydropower Limited,331.5000,334.5000,325.0000,,910,302818.0000,325.0000,394.0000,192.7000,2024-05-29T12:22:58.934370,332.1000,27,332.76,
253,2024-05-29,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,1800.0000,1811.5000,1766.0000,,679,1209309.0000,1776.0000,2029.0000,944.8000,2024-05-29T12:20:00.143233,1766.0000,13,1781.01,
254,2024-05-29,8076,HHL,Himalayan Hydropower Limited,350.0000,360.0000,348.0000,,7210,2563271.0000,347.0000,420.0000,170.3000,2024-05-29T12:22:12.583981,360.0000,72,355.51,
255,2024-05-29,8099,UHEWA,Upper Hewakhola Hydropower Company Limited,403.0000,403.0000,385.0000,,6095,2413168.2000,396.4000,423.3000,250.8000,2024-05-29T12:21:21.495135,400.0000,40,395.92,
256,2024-05-29,8102,MHL,Mandakini Hydropower Limited,469.2000,486.0000,458.1000,,3297,1544829.8000,469.2000,484.0000,242.1000,2024-05-29T12:22:30.155816,464.0000,47,468.55,
257,2024-05-29,8106,GIBF1,Global IME Balanced Fund-1,9.0600,9.0700,9.0600,,2000,18135.0000,8.9100,9.7000,7.2000,2024-05-29T11:16:48.624929,9.0700,2,9.06,
258,2024-05-29,8111,HIDCLP,Hydorelectricity Investment and Development Company Limited Promoter,100.0000,101.0000,98.6000,,6789,677098.6000,99.2000,118.0000,96.6000,2024-05-29T11:49:22.702660,98.6000,10,99.73,
259,2024-05-29,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,860.3000,893.9000,853.0000,,810,708148.0000,860.3000,942.0000,550.0000,2024-05-29T12:20:01.166226,861.2000,24,874.25,
260,2024-05-29,8122,PPL,People's Power Limited,465.0000,472.9000,456.0000,,5949,2752877.4000,458.0000,683.4000,198.1000,2024-05-29T12:17:18.448486,460.1000,100,462.74,
