S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
29,2024-05-29,341,GBIME,Global IME Bank Limited,193.8000,197.0000,189.5000,,42440,8176484.5000,190.0000,241.9000,170.0000,2024-05-29T12:22:39.900206,192.0000,197,192.65,
30,2024-05-29,348,CZBIL,Citizens Bank International Limited,182.5000,185.0000,176.0000,,41105,7465230.7000,179.0000,207.8000,152.5000,2024-05-29T12:20:44.325348,180.1000,114,181.61,
31,2024-05-29,357,PCBL,Prime Commercial Bank Ltd.,213.1000,216.0000,210.0000,,40948,8647666.7000,209.0000,224.8000,176.0000,2024-05-29T12:21:47.166005,210.0000,91,211.18,
32,2024-05-29,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,165.0000,166.0000,161.1000,,100368,16475635.8000,162.6000,316.0000,150.0000,2024-05-29T12:21:27.848586,163.9000,265,164.15,
33,2024-05-29,385,ALICL,Asian Life Insurance Co. Limited,588.7000,591.0000,580.1000,,2885,1683178.1000,583.8000,812.0000,523.0000,2024-05-29T12:13:16.388498,580.4000,31,583.42,
34,2024-05-29,403,SJLIC,SuryaJyoti Life Insurance Company Limited,432.0000,433.0000,422.3000,,2133,909792.7000,424.0000,646.0000,400.0000,2024-05-29T12:17:42.264485,422.7000,40,426.53,
35,2024-05-29,428,KRBL,Karnali Development Bank Limited,435.4000,435.4000,423.2000,,4565,1956403.4000,427.0000,479.0000,241.1000,2024-05-29T12:17:55.304086,430.0000,25,428.56,
36,2024-05-29,450,CORBL,Corporate Development Bank Limited,480.0000,488.0000,475.0000,,645,307785.0000,484.9000,496.0000,285.2000,2024-05-29T12:11:06.779558,475.0000,8,477.18,
37,2024-05-29,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,138.7000,138.7000,130.7000,,1040,144033.0000,136.0000,176.6000,122.8000,2024-05-29T12:14:59.458724,133.3000,5,138.49,
38,2024-05-29,472,SADBL,Shangrila Development Bank Ltd.,318.1000,324.3000,316.8000,,23660,7570748.4000,320.0000,352.9000,266.0000,2024-05-29T12:11:09.806046,319.0000,51,319.98,
39,2024-05-29,474,MNBBL,Muktinath Bikas Bank Ltd.,358.0000,358.0000,352.0000,,6181,2186422.4000,352.1000,446.0000,332.4000,2024-05-29T12:23:02.515462,353.0000,46,353.73,
40,2024-05-29,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,724.0000,729.0000,709.6000,,21381,15320519.0000,724.0000,781.0000,521.0000,2024-05-29T12:22:19.129854,712.0000,152,716.54,
41,2024-05-29,561,SINDU,Sindhu Bikash Bank Ltd,388.0000,388.0000,380.3000,,272,104196.0000,381.0000,419.0000,233.7000,2024-05-29T11:50:05.377207,381.0000,5,383.07,
42,2024-05-29,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,772.1000,777.0000,755.0000,,9053,6910843.0000,757.0000,820.0000,438.0000,2024-05-29T12:22:59.323792,758.0000,50,763.37,
43,2024-05-29,587,RLFL,Reliance Finance Ltd.,411.0000,411.0000,402.1000,,17552,7091065.3000,403.0000,422.1000,270.2000,2024-05-29T12:22:06.769275,404.4000,67,404.00,
44,2024-05-29,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,1314.9000,1315.0000,1265.0000,,368,470307.4000,1290.0000,1380.0000,657.0000,2024-05-29T12:20:35.435854,1265.3000,12,1278.00,
45,2024-05-29,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,1111.0000,1112.0000,1085.0000,,1591,1749017.0000,1090.0000,1157.7000,580.0000,2024-05-29T12:21:16.504719,1106.0000,18,1099.31,
46,2024-05-29,686,BARUN,Barun Hydropower Co. Ltd.,240.7000,247.0000,237.0000,,2246,540102.6000,236.0000,299.0000,191.1000,2024-05-29T12:18:53.117726,237.0000,20,240.47,
47,2024-05-29,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,955.0000,965.0000,931.0000,,1073,1010489.3000,955.0000,978.9000,546.1000,2024-05-29T12:19:31.920362,931.0000,20,941.74,
48,2024-05-29,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,1205.0000,1220.0000,1200.1000,,6115,7414644.3000,1223.0000,1272.9000,519.1000,2024-05-29T12:22:36.514644,1217.9000,42,1212.53,
49,2024-05-29,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,980.0000,980.0000,979.0000,,354,346866.0000,992.0000,1054.1000,560.0000,2024-05-29T11:51:37.939312,979.0000,2,979.84,
50,2024-05-29,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1390.2000,1390.2000,1363.0000,,1058,1443186.9000,1363.0000,1485.0000,785.0000,2024-05-29T12:08:18.213031,1363.0000,12,1364.07,
51,2024-05-29,697,API,Api Power Company Ltd.,176.4000,178.0000,173.0000,,21271,3723542.1000,173.0000,265.2000,154.7000,2024-05-29T12:11:50.927672,174.9000,115,175.05,
52,2024-05-29,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,691.0000,692.0000,678.3000,,8650,5927279.0000,679.0000,813.5000,482.0000,2024-05-29T12:23:00.331079,680.0000,48,685.23,
53,2024-05-29,2757,AKPL,Arun Kabeli Power Ltd.,175.4000,175.4000,170.0000,,15031,2590367.1000,172.0000,384.9000,152.4000,2024-05-29T12:16:01.151365,172.0000,58,172.33,
54,2024-05-29,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,938.0000,941.0000,937.0000,,1407,1320458.2000,943.0000,991.0000,553.7000,2024-05-29T12:17:23.137800,941.0000,13,938.49,
55,2024-05-29,2766,CHL,Chhyangdi Hydropower Ltd.,333.5000,346.0000,322.0000,,5941,1962692.5000,327.0000,349.5000,194.1000,2024-05-29T12:11:32.170535,328.0000,32,330.36,
56,2024-05-29,2767,HPPL,Himalayan Power Partner Ltd.,265.2000,265.2000,253.7000,,3573,928879.1000,260.0000,322.0000,199.0000,2024-05-29T12:14:14.453730,258.7000,22,259.97,
57,2024-05-29,2768,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,1305.6000,1305.6000,1254.4000,,461,590246.9000,1280.0000,1445.0000,699.3000,2024-05-29T12:12:54.824057,1297.0000,10,1280.36,
58,2024-05-29,2769,NHDL,Nepal Hydro Developers Ltd.,483.2000,483.5000,470.0000,,3382,1610550.4000,474.1000,523.0000,303.0000,2024-05-29T12:22:48.482251,473.0000,23,476.21,
59,2024-05-29,2774,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,2137.0000,2137.0000,2016.0000,,1497,3097821.0000,2096.0000,2363.3000,591.1000,2024-05-29T12:18:46.996626,2050.0000,46,2069.35,
60,2024-05-29,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,1425.0000,1482.5000,1400.0000,,320,459215.0000,1440.0000,1679.0000,680.0000,2024-05-29T12:19:41.494207,1426.0000,15,1435.04,
61,2024-05-29,131,NABIL,Nabil Bank Limited,505.0000,522.0000,505.0000,,25864,13183993.3000,507.9000,653.0000,419.0000,2024-05-29T12:23:02.723680,507.0000,260,509.74,
62,2024-05-29,132,NIMB,Nepal Investment Mega Bank Limited,173.2000,176.0000,168.7000,,62050,10693646.8000,169.9000,217.0000,147.4000,2024-05-29T12:22:34.758955,171.5000,181,172.33,
63,2024-05-29,135,SBI,Nepal SBI Bank Limited,310.0000,315.0000,300.0000,,5732,1756434.7000,304.1000,378.4000,268.6000,2024-05-29T12:13:55.875167,306.3000,32,306.42,
64,2024-05-29,141,LSL,Laxmi Sunrise Bank Limited,171.0000,171.0000,164.5000,,22323,3779059.5000,168.5000,208.0000,143.6000,2024-05-29T12:22:46.473968,169.0000,67,169.28,
65,2024-05-29,142,KBL,Kumari Bank Limited,153.5000,154.0000,147.0000,,41185,6216015.8000,150.5000,195.8000,129.6000,2024-05-29T12:20:55.568763,152.0000,158,150.92,
66,2024-05-29,149,OHL,Oriental Hotels Limited,783.0000,800.0000,774.5000,,9526,7533384.7000,770.0000,885.0000,580.0000,2024-05-29T12:22:47.831103,799.6000,79,790.82,
67,2024-05-29,153,BPCL,Butwal Power Company Limited,305.1000,305.1000,299.2000,,1505,457323.0000,299.2000,365.0000,284.4000,2024-05-29T12:09:41.927926,300.5000,17,303.86,
68,2024-05-29,155,STC,Salt Trading Corporation,4360.0000,4447.0000,4360.0000,,1498,6550386.0000,4395.0000,5900.0000,3812.0000,2024-05-29T12:15:52.343756,4420.0000,22,4372.75,
69,2024-05-29,156,BBC,Bishal Bazar Company Limited,3825.0000,3927.0000,3822.0000,,393,1520184.5000,3752.2000,4539.0000,3120.0000,2024-05-29T12:13:49.512509,3927.0000,23,3868.15,
70,2024-05-29,172,NABBC,Narayani Development Bank Limited,599.7000,599.7000,579.0000,,8812,5125958.7000,589.9000,600.0000,342.1000,2024-05-29T12:21:06.942608,580.0000,55,581.70,
71,2024-05-29,177,RBCL,Rastriya Beema Company Limited,13474.0000,13500.0000,13234.0000,,171,2288344.0000,13210.0000,17140.0000,12800.0000,2024-05-29T12:21:10.845311,13500.0000,12,13382.12,
72,2024-05-29,179,HEI,Himalayan Everest Insurance Limited,628.3000,638.0000,616.0000,,3491,2168597.3000,616.0000,705.0000,442.1000,2024-05-29T12:14:35.902637,620.0000,34,621.19,
73,2024-05-29,180,UAIL,United Ajod Insurance Limited,599.7000,599.7000,580.0000,,9778,5692966.2000,588.0000,696.0000,470.5000,2024-05-29T12:12:32.421306,580.0000,59,582.22,
74,2024-05-29,182,SPIL,Siddhartha Premier Insurance Limited,783.0000,795.0000,783.0000,,3850,3040166.1000,795.0000,837.0000,597.2000,2024-05-29T12:20:20.142521,787.0000,28,789.65,
75,2024-05-29,183,NIL,Neco Insurance Limited,800.0000,815.0000,800.0000,,2837,2282102.5000,803.0000,946.0000,731.0000,2024-05-29T12:19:44.844295,803.0000,27,804.40,
76,2024-05-29,184,PRIN,Prabhu Insurance Ltd.,790.0000,795.0000,784.0000,,480,379170.0000,775.0000,897.0000,460.6000,2024-05-29T11:53:02.727609,786.0000,6,789.93,
77,2024-05-29,187,NLIC,Nepal Life Insurance Co. Ltd.,618.1000,618.1000,606.0000,,7171,4394125.2000,606.0000,820.0000,566.0000,2024-05-29T12:21:02.771782,610.0000,80,612.76,
78,2024-05-29,194,NFS,Nepal Finance Ltd.,512.4000,519.0000,507.0000,,17108,8758062.5000,512.4000,595.0000,260.5000,2024-05-29T12:19:06.899737,519.0000,88,511.92,
79,2024-05-29,195,BNL,Bottlers Nepal (Balaju) Limited,15550.0000,15850.0000,15550.0000,,55,862750.0000,15450.0000,23765.6000,2222.2000,2024-05-29T11:32:58.737640,15850.0000,2,15686.36,
80,2024-05-29,219,UNL,Unilever Nepal Limited,40138.0000,43286.1000,40138.0000,,770,33202172.0000,39351.0000,45151.0000,29700.0000,2024-05-29T12:15:00.483606,43286.1000,64,43119.70,
81,2024-05-29,227,BFC,Best Finance Company Ltd.,414.1000,414.1000,405.1000,,7885,3208809.0000,406.0000,425.0000,284.0000,2024-05-29T12:23:08.233566,405.8000,41,406.95,
82,2024-05-29,232,GFCL,Goodwill Finance Limited,469.2000,469.2000,455.0000,,220,101004.0000,460.0000,530.0000,375.0000,2024-05-29T12:19:52.401837,461.8000,9,459.10,
83,2024-05-29,236,PFL,Pokhara Finance Ltd.,695.8000,751.0000,656.0000,,73271,49309210.2000,710.0000,795.0000,320.2000,2024-05-29T12:23:01.452072,670.0000,269,672.97,
84,2024-05-29,238,NMB,NMB Bank Limited,216.7000,221.0000,212.0000,,24172,5210848.3000,212.5000,252.0000,162.0000,2024-05-29T12:21:12.858863,213.5000,116,215.57,
85,2024-05-29,244,SIFC,Shree Investment Finance Co. Ltd.,428.4000,435.0000,415.1000,,3779,1583009.0000,420.0000,470.0000,293.2000,2024-05-29T12:11:14.086789,419.7000,26,418.89,
86,2024-05-29,250,JFL,Janaki Finance Company Limited,540.6000,570.0000,532.2000,,77963,43336426.5000,530.0000,569.9000,316.7000,2024-05-29T12:19:02.992394,560.0000,306,555.85,
87,2024-05-29,255,PRVU,Prabhu  Bank Limited,155.0000,157.0000,151.6000,,38918,5971904.5000,152.0000,206.0000,132.0000,2024-05-29T12:21:11.450548,153.0000,131,153.44,
88,2024-05-29,256,SFCL,Samriddhi Finance Company Limited,347.9000,353.0000,340.0000,,11246,3853445.7000,341.1000,386.0000,246.2000,2024-05-29T12:19:08.692300,347.0000,68,342.65,
89,2024-05-29,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,825.0000,835.0000,815.2000,,583,483503.5000,825.0000,942.0000,653.7000,2024-05-29T12:15:05.381194,824.0000,14,829.33,
90,2024-05-29,274,EDBL,Excel Development Bank Ltd.,398.8000,398.8000,385.6000,,2300,895814.0000,391.0000,403.9000,266.4000,2024-05-29T12:04:26.951841,389.0000,7,389.48,
91,2024-05-29,338,PROFL,Progressive Finance Limited,346.0000,346.0000,340.0000,,2319,793797.7000,339.8000,465.0000,269.1000,2024-05-29T12:16:45.990849,340.0000,15,342.30,
92,2024-05-29,2784,NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,780.0000,795.0000,776.0000,,4416,3464205.0000,783.0000,850.0000,455.0000,2024-05-29T12:21:04.186338,783.0000,47,784.46,
93,2024-05-29,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,208.5000,209.6000,205.0000,,3859,800930.0000,205.5000,250.0000,141.3000,2024-05-29T12:17:25.708551,207.1000,25,207.54,
94,2024-05-29,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,949.9000,955.0000,920.0000,,1418,1319633.5000,936.0000,963.9000,500.1000,2024-05-29T12:08:21.075887,935.0000,21,930.63,
95,2024-05-29,2792,UPPER,Upper Tamakoshi Hydropower Ltd,169.2000,169.2000,165.5000,,36971,6160130.4000,165.9000,514.0000,160.0000,2024-05-29T12:18:37.573745,166.0000,195,166.62,
96,2024-05-29,2804,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,1249.0000,1250.0000,1225.0000,,756,934786.0000,1228.7000,1423.4000,578.2000,2024-05-29T12:15:14.998491,1225.0000,16,1236.48,
97,2024-05-29,2806,GHL,Ghalemdi Hydro Limited,152.4000,155.4000,149.1000,,17898,2708916.5000,149.5000,251.9000,120.0000,2024-05-29T12:20:35.849451,149.3000,74,151.35,
98,2024-05-29,2809,SHIVM,SHIVAM CEMENTS LTD,524.0000,524.0000,509.0000,,40781,20904749.5000,513.8000,680.0000,445.0000,2024-05-29T12:21:09.860412,511.0000,190,512.61,
99,2024-05-29,2810,UPCL,UNIVERSAL POWER COMPANY LTD,200.8000,200.8000,193.0000,,14003,2744428.2000,196.9000,252.9000,168.0000,2024-05-29T12:19:55.489674,197.9000,55,195.98,
100,2024-05-29,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1243.1000,1268.0000,1243.1000,,338,423480.0000,1268.0000,1372.9000,641.0000,2024-05-29T12:17:21.406169,1267.0000,5,1252.89,
101,2024-05-29,2824,HURJA,Himalaya Urja Bikas Company Limited,284.0000,288.9000,279.3000,,86095,24299243.8000,279.0000,335.5000,205.0000,2024-05-29T12:21:33.620643,286.9000,34,282.23,
102,2024-05-29,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1340.0000,1340.0000,1340.0000,,10,13400.0000,1339.0000,1450.0000,717.4000,2024-05-29T11:32:01.917340,1340.0000,1,1340.00,
103,2024-05-29,2835,NBF2,NABIL BALANCED FUND-2,8.6800,8.6800,8.5100,,300,2570.0000,8.5100,9.5500,7.0300,2024-05-29T12:11:37.379867,8.5100,2,8.56,
104,2024-05-29,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,281.5000,281.5000,271.1000,,1178,322020.0000,276.0000,359.0000,232.1000,2024-05-29T12:13:29.808720,273.0000,28,273.36,
105,2024-05-29,2859,SIGS2,Siddhartha Investment Growth Scheme - 2,8.7600,8.7600,8.7500,,13800,120770.0000,8.6200,9.6000,6.9200,2024-05-29T11:27:23.869199,8.7500,3,8.75,
106,2024-05-29,2887,NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,678.0000,678.0000,666.1000,,2780,1874343.5000,665.0000,788.7000,520.3000,2024-05-29T12:16:03.441873,671.0000,37,674.22,
107,2024-05-29,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,935.1000,956.0000,935.1000,,1341,1271085.2000,939.1000,1045.0000,519.2000,2024-05-29T12:12:42.317670,937.1000,24,947.86,
108,2024-05-29,2903,LEC,Liberty Energy Company Limited,187.0000,188.6000,185.0000,,21931,4092613.0000,185.1000,293.7000,138.0000,2024-05-29T12:22:53.208139,188.6000,70,186.61,
109,2024-05-29,2908,SGIC,Sanima GIC Insurance Limited,560.0000,560.0000,545.0000,,11661,6398029.8000,550.0000,710.9000,417.0000,2024-05-29T12:13:20.932924,549.8000,101,548.66,
110,2024-05-29,2913,MEN,Mountain Energy Nepal Limited,595.0000,597.0000,583.1000,,8099,4743747.5000,586.0000,1092.0000,429.9000,2024-05-29T12:22:13.157216,585.5000,42,585.72,
111,2024-05-29,2914,UMRH,United IDI Mardi RB Hydropower Limited.,371.4000,375.0000,365.0000,,20127,7424904.6000,364.2000,492.7000,261.3000,2024-05-29T12:22:27.835166,374.9000,97,368.90,
112,2024-05-29,2915,PMLI,Prabhu Mahalaxmi Life Insurance Limited,501.1000,518.0000,501.1000,,894,455206.0000,509.0000,660.0000,397.0000,2024-05-29T12:22:23.169312,508.0000,58,509.17,
113,2024-05-29,2919,NIFRA,Nepal Infrastructure Bank Limited,207.0000,210.1000,204.0000,,44838,9250889.3000,206.0000,253.0000,180.2000,2024-05-29T12:23:04.749385,204.2000,192,206.31,
114,2024-05-29,2923,SLCF,Sanima Large Cap Fund,8.0900,8.2500,8.0100,,2100,17149.0000,8.2500,8.9200,6.8700,2024-05-29T12:11:18.490446,8.0100,5,8.16,
115,2024-05-29,2924,GLH,GreenLife Hydropower Limited,211.0000,215.0000,209.0000,,4410,927643.0000,211.4000,293.7000,194.6000,2024-05-29T12:22:27.892778,210.0000,29,210.34,
116,2024-05-29,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,1925.7000,1940.0000,1896.3000,,155,295721.2000,1888.0000,2268.0000,1535.0000,2024-05-29T12:02:25.381954,1896.3000,9,1907.87,
117,2024-05-29,2933,KEF,Kumari Equity Fund,8.4100,8.4900,8.4100,,5500,46655.0000,8.4900,10.3500,6.9100,2024-05-29T12:15:08.034169,8.4100,5,8.48,
118,2024-05-29,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,625.0000,631.0000,602.6000,,17762,10876003.8000,614.5000,842.0000,484.9000,2024-05-29T12:18:58.607709,615.1000,73,612.31,
119,2024-05-29,3946,CHDC,CEDB Hydropower Development Company Limited,890.0000,899.0000,873.0000,,76225,67717809.3000,873.0000,1217.2000,627.0000,2024-05-29T12:23:04.317611,899.0000,393,888.39,
120,2024-05-29,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1399.0000,1410.0000,1390.0000,,2014,2827894.0000,1400.0000,1879.0000,1205.0000,2024-05-29T12:21:37.478538,1400.0000,48,1404.11,
121,2024-05-29,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,1075.0000,1140.0000,1075.0000,,1469,1620056.0000,1055.0000,1233.0000,526.2000,2024-05-29T12:22:57.509512,1096.1000,39,1102.82,
122,2024-05-29,4965,SAMAJ,Samaj Laghubittya Bittiya Sanstha Limited,2130.0000,2142.0000,2130.0000,,60,128340.0000,2100.0000,2488.2000,64.8000,2024-05-29T12:11:33.943083,2142.0000,5,2139.00,
123,2024-05-29,6984,PBD85,8.75 % Prime Debenture 2085,970.2000,970.2000,970.2000,,25,24255.0000,983.1000,1010.0000,786.1000,2024-05-29T11:25:05.756933,970.2000,1,970.20,
124,2024-05-29,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87,976.2000,976.2000,976.2000,,25,24405.0000,993.0000,1007.0000,758.1000,2024-05-29T11:24:35.670589,976.2000,1,976.20,
125,2024-05-29,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,474.0000,474.0000,465.0000,,651,304909.0000,465.9000,592.0000,293.2000,2024-05-29T12:22:37.412818,473.0000,19,468.37,
126,2024-05-29,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1354.0000,1354.0000,1328.0000,,80,106784.0000,1354.0000,1528.2000,570.1000,2024-05-29T11:47:48.530100,1328.0000,6,1334.80,
127,2024-05-29,8021,SAHAS,Sahas Urja Limited,539.0000,540.1000,532.0000,,9278,4970575.6000,534.0000,610.0000,402.8000,2024-05-29T12:22:49.211219,532.3000,84,535.73,
128,2024-05-29,8026,NYADI,Nyadi Hydropower Limited,298.8000,298.8000,288.5000,,560,163474.0000,293.0000,328.0000,176.4000,2024-05-29T12:19:51.112154,296.0000,15,291.91,
129,2024-05-29,8034,ENL,Emerging Nepal Limited,900.0000,960.0000,895.1000,,18022,16828560.0000,890.0000,1060.0000,590.0000,2024-05-29T12:22:21.454953,959.0000,194,933.77,
130,2024-05-29,8038,JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,1494.0000,1522.0000,1446.0000,,438,644091.2000,1465.0000,1869.7000,920.0000,2024-05-29T12:21:52.853069,1460.0000,20,1470.52,
131,2024-05-29,8045,GVL,Green Ventures Limited,447.7000,455.0000,439.0000,,5874,2590263.8000,439.0000,498.0000,299.9000,2024-05-29T12:21:58.334985,445.0000,70,440.97,
132,2024-05-29,8065,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,1502.0000,1502.0000,1470.0000,,1577,2327623.6000,1473.5000,1823.0000,882.0000,2024-05-29T12:22:49.986728,1472.3000,38,1475.98,
133,2024-05-29,8066,RFPL,River Falls Power Limited,374.0000,380.0000,364.1000,,14239,5238262.5000,366.7000,481.4000,193.8000,2024-05-29T12:22:28.226476,366.0000,67,367.88,
134,2024-05-29,8070,DORDI,Dordi Khola Jal Bidyut Company Limited,421.2000,421.2000,406.1000,,1980,817539.0000,413.0000,576.0000,191.6000,2024-05-29T12:05:58.851978,406.1000,31,412.89,
135,2024-05-29,8073,NICFC,NIC Asia Flexi CAP Fund,8.8700,9.2000,8.7200,,1000,8966.0000,9.0500,10.1700,7.5200,2024-05-29T12:16:55.162976,9.0200,8,8.96,
136,2024-05-29,8074,KDBY,Kumari Dhanabriddhi Yojana,8.8200,8.9900,8.8100,,1200,10658.0000,8.9900,10.0700,7.2400,2024-05-29T12:21:30.736774,8.9900,11,8.88,
137,2024-05-29,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,556.0000,567.0000,545.0000,,19566,10746020.5000,556.0000,578.0000,286.5000,2024-05-29T12:22:03.254878,555.0000,65,549.21,
138,2024-05-29,8097,PBD88,10% Prime Debenture 2088,1026.0000,1026.2000,1026.0000,,125,128262.5000,1031.0000,1068.0000,862.2000,2024-05-29T12:19:12.611780,1026.1000,4,1026.10,
139,2024-05-29,8100,SGHC,Swet-Ganga Hydropower & Construction Limited ,325.0000,342.0000,325.0000,,3782,1244379.0000,323.9000,363.0000,205.1000,2024-05-29T12:17:38.448551,330.2000,75,329.02,
140,2024-05-29,8104,USHEC,Upper Solu Hydro Electric Company Limited,392.3000,400.0000,380.2000,,5740,2269945.0000,385.0000,422.0000,208.2000,2024-05-29T12:23:02.240853,400.0000,57,395.46,
141,2024-05-29,8108,RHGCL,Rapti Hydro And General Construction Limited,356.0000,370.0000,341.1000,,17847,6231279.1000,350.9000,387.0000,184.5000,2024-05-29T12:22:31.613391,350.1000,106,349.14,
142,2024-05-29,8121,SPHL,Sayapatri Hydropower Limited,502.0000,502.0000,484.0000,,1551,774092.0000,493.0000,598.0000,294.0000,2024-05-29T12:21:23.366485,502.0000,22,499.09,
143,2024-05-29,8131,EHPL,Eastern Hydropower Limited,543.6000,543.6000,511.5000,,6835,3564152.0000,533.0000,536.0000,273.0000,2024-05-29T12:11:40.357141,520.0000,70,521.45,
144,2024-05-29,8133,PHCL,Peoples Hydropower Company Limited,293.0000,298.8000,289.0000,,2665,784636.0000,289.1000,381.0000,216.0000,2024-05-29T12:21:16.226098,293.6000,57,294.42,
145,2024-05-29,9135,BHPL,Barahi Hydropower Public Limited,631.3000,631.3000,568.0000,,4816,2782849.8000,619.0000,624.0000,304.1000,2024-05-29T12:21:53.859485,572.0000,65,577.83,
146,2024-05-29,9138,NIBLGF,NIBL Growth Fund,8.1500,8.1500,8.1500,,100,815.0000,8.1800,10.6400,7.2000,2024-05-29T12:13:15.815870,8.1500,1,8.15,
147,2024-05-29,9140,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,2027.0000,2028.0000,1982.0000,,230,458090.0000,1989.0000,2193.0000,922.0000,2024-05-29T12:15:26.186771,1995.0000,16,1991.69,
148,2024-05-29,9146,SMHL,Super Madi Hydropower Limited,529.3000,539.0000,510.3000,,24849,13038483.0000,519.0000,540.6000,310.0000,2024-05-29T12:22:13.915315,534.0000,207,524.70,
149,2024-05-29,9149,MKHC,Maya Khola Hydropower Company Limited,314.1000,321.0000,310.0000,,13064,4137613.0000,308.0000,362.0000,174.4000,2024-05-29T12:21:32.334382,321.0000,106,316.71,
150,2024-05-29,9150,AHL,Asian Hydropower Limited,478.3000,478.3000,451.1000,,1890,886082.0000,469.0000,504.0000,273.1000,2024-05-29T12:21:57.652508,464.0000,21,468.82,
151,2024-05-29,9151,KDL,Kalinchowk Darshan Limited,1150.5000,1240.8000,1150.5000,,20664,25503935.6000,1128.0000,1130.1000,717.0000,2024-05-29T12:23:02.284128,1240.8000,325,1234.22,
152,2024-05-29,9154,SFEF,Sunrise Focused Equity Fund,8.1600,8.3200,8.0000,,5010,41635.2000,8.1600,9.6800,7.4100,2024-05-29T12:14:42.846749,8.0000,4,8.31,
153,2024-05-29,9156,TAMOR,Sanima Middle Tamor Hydropower Limited,390.6000,390.6000,370.0000,,6833,2574369.0000,383.0000,454.0000,230.1000,2024-05-29T12:22:26.783842,376.3000,71,376.75,
154,2024-05-29,9161,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,2448.0000,2448.0000,2355.0000,,270,639676.0000,2400.0000,2651.0000,1550.0000,2024-05-29T12:03:59.890708,2355.0000,13,2369.17,
155,2024-05-29,9167,MKHL,Mai Khola Hydropower Limited,435.0000,452.5000,430.0000,,7485,3269168.5000,427.0000,543.0000,224.0000,2024-05-29T12:21:33.631698,443.5000,70,436.76,
156,2024-05-29,9170,DOLTI,Dolti Power Company Limited,421.9000,421.9000,410.0000,,7834,3234521.5000,414.0000,539.0000,177.4000,2024-05-29T12:18:00.498537,410.0000,49,412.88,
157,2024-05-29,9174,PRSF,Prabhu Smart Fund,8.9200,8.9600,8.9200,,600,5356.0000,9.1000,10.0600,7.4500,2024-05-29T11:37:53.760760,8.9600,3,8.92,
158,2024-05-29,9175,MCHL,Menchhiyam Hydropower Limited,391.6000,399.4000,378.2000,,780,305317.0000,384.0000,424.0000,165.2000,2024-05-29T12:22:37.168307,387.0000,33,391.43,
159,2024-05-29,9178,RMF2,RBB Mutual Fund 2,8.7100,8.7100,8.7100,,200,1742.0000,8.6500,10.6400,7.2300,2024-05-29T11:37:41.203049,8.7100,2,8.71,
